YEAR,VALUE,COUNTRY,HS CODE
2015,,Aruba,8807200060--UNDERCARRIAGES & PARTS THEREOF FOR MILITRY AIRCRFT
2015,,Aruba,"8807300060--OTHER PARTS,NESOI,OF MILITARY AIRPLANES/HELICOPTRS"
2015,,Aruba,9306210000--SHOTGUN CARTRIDGES AND PARTS THEREOF
2015,,Aruba,9306304110--CARTRIDGES FOR RIFLE OR PISTOLS .22 CALIBER
2015,,Aruba,9306304160--CARTRIDGES NOT CONTAINING A PROJECTILE & NT EMPTY
2015,,Aruba,"9306900040--BOMBS, GRENADES, TORPEDOS, & SIML MUNITIONS OF WAR"
2015,,Aruba,"9306900080--PARTS FOR BOMBS, GRENADES, & SIML MUNITIONS OF WAR"
2015,,Australia,"8411114050--TURBOJET A/C TURBINES EXC CIVIL, THRUST LE 25 KN"
2015,,Australia,"8411124050--TURBOJET A/C TURBINES EX  CIVIL, THRUST OVER 25"
2015,,Australia,"8411214050--TURBOPRPELLR A/C TBN, EX CIVIL, POWR NT OV 1100 KW"
2015,,Australia,"8411224050--TURBOPROPELLER A/C TBN EXCEPT CIVIL, OV 1100 KW"
2015,,Australia,"8710000060--ARMORED FIGHTING VEH,MOTORIZED,NESOI"
2015,,Australia,8802200170--USED/REBUILT MILITARY AIRCRAFT UNLAD WT 451-2000KG
2015,,Australia,8807100060--PROPLLRS & ROTORS & PRTS THEREOF FOR MLTARY AIRCFT
2015,,Australia,8807200060--UNDERCARRIAGES & PARTS THEREOF FOR MILITRY AIRCRFT
2015,,Australia,"8807300060--OTHER PARTS,NESOI,OF MILITARY AIRPLANES/HELICOPTRS"
2015,,Australia,"8807909060--OTHER PARTS,NESOI,FOR OTHER MILITARY AIR&SPACECRFT"
2015,,Australia,"8906100000--WARSHIPS (INCL SUBMARINES, TROOPSHIPS ETC.)"
2015,,Australia,9301100010--SELF-PROPELLED ARTILLERY WEAPONS (MILITARY)
2015,,Australia,9305912000--PARTS AND ACC  FOR MILITARY SHOTGUNS
2015,,Australia,9305913020--SUPPRESSORS OF OTHER MIL WEAPONS HEAD 9301 NESOI
2015,,Australia,9305913040--PARTS & ACCES OF OTHER MLTRY WEAPONS OF 9301 NESOI
2015,,Austria,"8411114050--TURBOJET A/C TURBINES EXC CIVIL, THRUST LE 25 KN"
2015,,Austria,"8411814050--GAS TURBINE A/C TBN EXC CIVIL, 5000 KW AND UNDER"
2015,,Austria,"8411917050--PARTS OF TURBOJET & TURBOPROPELLR A/C ENG,EX CIVIL"
2015,,Austria,"8710000060--ARMORED FIGHTING VEH,MOTORIZED,NESOI"
2015,,Austria,8805210000--AIR COMBAT SIMULATORS  AND PARTS THEREOF
2015,,Austria,8807100060--PROPLLRS & ROTORS & PRTS THEREOF FOR MLTARY AIRCFT
2015,,Austria,8807200060--UNDERCARRIAGES & PARTS THEREOF FOR MILITRY AIRCRFT
2015,,Austria,"8807300060--OTHER PARTS,NESOI,OF MILITARY AIRPLANES/HELICOPTRS"
2015,,Austria,"8807909060--OTHER PARTS,NESOI,FOR OTHER MILITARY AIR&SPACECRFT"
2015,,Austria,9301100010--SELF-PROPELLED ARTILLERY WEAPONS (MILITARY)
2015,,Austria,"9301100080--ARTILLERY WEAPONS, MILITARY, EXC SELF-PROPELLED"
2015,,Austria,"9301909030--MACHINE GUNS, MILITARY"
2015,,Austria,"9301909090--MILITARY WEAPONS, EXC ARMS OF HEADING 9307, NESOI"
2015,,Austria,9305913010--PTS & ACC MILITARY ARTILLERY WEAPONS OF 9301.10
2015,,Austria,9305913020--SUPPRESSORS OF OTHER MIL WEAPONS HEAD 9301 NESOI
2015,,Austria,9305913040--PARTS & ACCES OF OTHER MLTRY WEAPONS OF 9301 NESOI
2015,,Austria,9306290000--PTS FOR SHOTGUN CARTRIDGES AND AIR GUN PELLETS
2015,,Austria,9306304140--EMPTY CARTRIDGES SHELLS FOR RIFLES OR PISTOLS
2015,,Austria,"9306900040--BOMBS, GRENADES, TORPEDOS, & SIML MUNITIONS OF WAR"
2015,,Austria,9306900060--PARTS FOR GUIDED MISSILES
2015,,Azerbaijan,8407100090--SPK-IGN REC OR ROT INT COM PST TYP A/C ENG EXC CIV
2015,,Azerbaijan,8409100080--PARTS FOR SP-IG OR COMP-IG FOR USE IN A/C EX CIVIL
2015,,Azerbaijan,"8411824050--GAS TURBINE A/C TBN EXC CIVIL, OVER 5000 KW"
2015,,Azerbaijan,"8710000060--ARMORED FIGHTING VEH,MOTORIZED,NESOI"
2015,,Azerbaijan,"8803300060--OTHER PARTS,NESOI,OF MILITARY AIRPLANES/HELICOPTRS"
2015,,Azerbaijan,"8803909060--OTHER PARTS,NESOI,FOR OTHER MILITARY AIR&SPACECRFT"
2015,,Azerbaijan,8804000000--PARACHUTES(ALSO DIRIGIBLE CHUTES)&ROTOCHUTES&PRTS
2015,,Azerbaijan,8805210000--AIR COMBAT SIMULATORS  AND PARTS THEREOF
2015,,Azerbaijan,8807100060--PROPLLRS & ROTORS & PRTS THEREOF FOR MLTARY AIRCFT
2015,,Azerbaijan,8807200060--UNDERCARRIAGES & PARTS THEREOF FOR MILITRY AIRCRFT
2015,,Azerbaijan,"8807300060--OTHER PARTS,NESOI,OF MILITARY AIRPLANES/HELICOPTRS"
2015,,Azerbaijan,"8906100000--WARSHIPS (INCL SUBMARINES, TROOPSHIPS ETC.)"
2015,,Azerbaijan,"9014208080--INST & APPLN, AERONAUTICAL/SPACE NAVIGATION, NESOI"
2015,,Azerbaijan,9305911000--PARTS AND ACCESS FOR MILITARY RIFLES
2015,,Azerbaijan,9306210000--SHOTGUN CARTRIDGES AND PARTS THEREOF
2015,,Azerbaijan,9803200000--MILITARY EQUIPMENTS NOT IDENTIFIED BY KIND
2015,,Bahamas,"8411224050--TURBOPROPELLER A/C TBN EXCEPT CIVIL, OV 1100 KW"
2015,,Bahamas,"8411917050--PARTS OF TURBOJET & TURBOPROPELLR A/C ENG,EX CIVIL"
2015,,Bahamas,"8710000060--ARMORED FIGHTING VEH,MOTORIZED,NESOI"
2015,,Bahamas,"8710000090--PARTS OF ARMORED FIGHTING VEHICLES,MOTORIZED"
2015,,Bahamas,8803100060--PROPLLRS & ROTORS & PRTS THEREOF FOR MLTARY AIRCFT
2015,,Bahamas,8803200060--UNDERCARRIAGES & PARTS THEREOF FOR MILITRY AIRCRFT
2015,,Bahamas,"8803300060--OTHER PARTS,NESOI,OF MILITARY AIRPLANES/HELICOPTRS"
2015,,Bahamas,"8803909060--OTHER PARTS,NESOI,FOR OTHER MILITARY AIR&SPACECRFT"
2015,,Bahamas,8804000000--PARACHUTES(ALSO DIRIGIBLE CHUTES)&ROTOCHUTES&PRTS
2015,,Bahamas,"8805100000--AIRCRAFT LAUNCHING GEAR,DECK-ARRESTOR,ETC.& PARTS"
2015,,Bahamas,8807100060--PROPLLRS & ROTORS & PRTS THEREOF FOR MLTARY AIRCFT
2015,,Bahamas,8807200060--UNDERCARRIAGES & PARTS THEREOF FOR MILITRY AIRCRFT
2015,,Bahamas,"8807300060--OTHER PARTS,NESOI,OF MILITARY AIRPLANES/HELICOPTRS"
2015,,Bahamas,"8807909060--OTHER PARTS,NESOI,FOR OTHER MILITARY AIR&SPACECRFT"
2015,,Bahamas,9301906000--MILITARY SHOTGUNS
2015,,Bahamas,9305911000--PARTS AND ACCESS FOR MILITARY RIFLES
2015,,Bahamas,9306290000--PTS FOR SHOTGUN CARTRIDGES AND AIR GUN PELLETS
2015,,Bahamas,"9306304130--CARTRIDGES CONTAINING A PROJECTILE, NESOI"
2015,,Bahamas,9306304140--EMPTY CARTRIDGES SHELLS FOR RIFLES OR PISTOLS
2015,,Bahamas,9306900020--GUIDED MISSLES
2015,,Bahamas,9803100000--MILITARY WEARING APPAREL OF ALL TYPES & MATERIALS
2015,,Bahamas,9803200000--MILITARY EQUIPMENTS NOT IDENTIFIED BY KIND
2015,,Bahrain,"8411114050--TURBOJET A/C TURBINES EXC CIVIL, THRUST LE 25 KN"
2015,,Bahrain,"8411214050--TURBOPRPELLR A/C TBN, EX CIVIL, POWR NT OV 1100 KW"
2015,,Bahrain,"8411224050--TURBOPROPELLER A/C TBN EXCEPT CIVIL, OV 1100 KW"
2015,,Bahrain,"8710000060--ARMORED FIGHTING VEH,MOTORIZED,NESOI"
2015,,Bahrain,"8802400115--NEW MILITARY FIGHTERS, WEIGHT EXCEEDING 15,000 KG"
2015,,Bahrain,8807100060--PROPLLRS & ROTORS & PRTS THEREOF FOR MLTARY AIRCFT
2015,,Bahrain,8807200060--UNDERCARRIAGES & PARTS THEREOF FOR MILITRY AIRCRFT
2015,,Bahrain,"8807300060--OTHER PARTS,NESOI,OF MILITARY AIRPLANES/HELICOPTRS"
2015,,Bahrain,"8807909060--OTHER PARTS,NESOI,FOR OTHER MILITARY AIR&SPACECRFT"
2015,,Bahrain,"8906100000--WARSHIPS (INCL SUBMARINES, TROOPSHIPS ETC.)"
2015,,Bahrain,"9014208080--INST & APPLN, AERONAUTICAL/SPACE NAVIGATION, NESOI"
2015,,Bahrain,"9301909030--MACHINE GUNS, MILITARY"
2015,,Bahrain,"9301909090--MILITARY WEAPONS, EXC ARMS OF HEADING 9307, NESOI"
2015,,Bahrain,9305911000--PARTS AND ACCESS FOR MILITARY RIFLES
2015,,Bahrain,9305913010--PTS & ACC MILITARY ARTILLERY WEAPONS OF 9301.10
2015,,Bahrain,9305913020--SUPPRESSORS OF OTHER MIL WEAPONS HEAD 9301 NESOI
2015,,Bahrain,9305913040--PARTS & ACCES OF OTHER MLTRY WEAPONS OF 9301 NESOI
2015,,Bahrain,9306210000--SHOTGUN CARTRIDGES AND PARTS THEREOF
2015,,Bahrain,9306304110--CARTRIDGES FOR RIFLE OR PISTOLS .22 CALIBER
2015,,Bahrain,"9306304120--CARTRIDGES FOR RIFLE OR PISTOLS, NESOI"
2015,,Bahrain,"9306304150--EMPTY CARTRIDGES SHELLS, NESOI"
2015,,Bahrain,"9306308000--PARTS OF CARATRIDGES, NESOI"
2015,,Bahrain,"9306900080--PARTS FOR BOMBS, GRENADES, & SIML MUNITIONS OF WAR"
2015,,Bangladesh,"8411224050--TURBOPROPELLER A/C TBN EXCEPT CIVIL, OV 1100 KW"
2015,,Bangladesh,"8411814050--GAS TURBINE A/C TBN EXC CIVIL, 5000 KW AND UNDER"
2015,,Bangladesh,"8411917050--PARTS OF TURBOJET & TURBOPROPELLR A/C ENG,EX CIVIL"
2015,,Bangladesh,"8710000090--PARTS OF ARMORED FIGHTING VEHICLES,MOTORIZED"
2015,,Bangladesh,"8802400180--USED OR REBUILT MILITARY AIRCRAFT,WGT GT 15000KG"
2015,,Bangladesh,8803100060--PROPLLRS & ROTORS & PRTS THEREOF FOR MLTARY AIRCFT
2015,,Bangladesh,"8803909060--OTHER PARTS,NESOI,FOR OTHER MILITARY AIR&SPACECRFT"
2015,,Bangladesh,8804000000--PARACHUTES(ALSO DIRIGIBLE CHUTES)&ROTOCHUTES&PRTS
2015,,Bangladesh,8807100060--PROPLLRS & ROTORS & PRTS THEREOF FOR MLTARY AIRCFT
2015,,Bangladesh,8807200060--UNDERCARRIAGES & PARTS THEREOF FOR MILITRY AIRCRFT
2015,,Bangladesh,"8807300060--OTHER PARTS,NESOI,OF MILITARY AIRPLANES/HELICOPTRS"
2015,,Bangladesh,"8807909060--OTHER PARTS,NESOI,FOR OTHER MILITARY AIR&SPACECRFT"
2015,,Bangladesh,"8906100000--WARSHIPS (INCL SUBMARINES, TROOPSHIPS ETC.)"
2015,,Bangladesh,"9301100080--ARTILLERY WEAPONS, MILITARY, EXC SELF-PROPELLED"
2015,,Bangladesh,9301903000--MILITARY RIFLES
2015,,Bangladesh,"9301909090--MILITARY WEAPONS, EXC ARMS OF HEADING 9307, NESOI"
2015,,Bangladesh,9305911000--PARTS AND ACCESS FOR MILITARY RIFLES
2015,,Bangladesh,9306210000--SHOTGUN CARTRIDGES AND PARTS THEREOF
2015,,Bangladesh,9306290000--PTS FOR SHOTGUN CARTRIDGES AND AIR GUN PELLETS
2015,,Bangladesh,9306304110--CARTRIDGES FOR RIFLE OR PISTOLS .22 CALIBER
2015,,Bangladesh,9306304140--EMPTY CARTRIDGES SHELLS FOR RIFLES OR PISTOLS
2015,,Bangladesh,9306304160--CARTRIDGES NOT CONTAINING A PROJECTILE & NT EMPTY
2015,,Bangladesh,"9306308000--PARTS OF CARATRIDGES, NESOI"
2015,,Bangladesh,"9306900040--BOMBS, GRENADES, TORPEDOS, & SIML MUNITIONS OF WAR"
2015,,Bangladesh,"9306900080--PARTS FOR BOMBS, GRENADES, & SIML MUNITIONS OF WAR"
2015,,Barbados,"8411214050--TURBOPRPELLR A/C TBN, EX CIVIL, POWR NT OV 1100 KW"
2015,,Barbados,"8411997050--PARTS OF GAS TURBINE A/C ENG, EXC CIVIL A/C"
2015,,Barbados,8803200060--UNDERCARRIAGES & PARTS THEREOF FOR MILITRY AIRCRFT
2015,,Barbados,"8805100000--AIRCRAFT LAUNCHING GEAR,DECK-ARRESTOR,ETC.& PARTS"
2015,,Barbados,8805210000--AIR COMBAT SIMULATORS  AND PARTS THEREOF
2015,,Barbados,8807100060--PROPLLRS & ROTORS & PRTS THEREOF FOR MLTARY AIRCFT
2015,,Barbados,8807200060--UNDERCARRIAGES & PARTS THEREOF FOR MILITRY AIRCRFT
2015,,Barbados,"8807300060--OTHER PARTS,NESOI,OF MILITARY AIRPLANES/HELICOPTRS"
2015,,Barbados,9301903000--MILITARY RIFLES
2015,,Barbados,9301906000--MILITARY SHOTGUNS
2015,,Barbados,"9301909030--MACHINE GUNS, MILITARY"
2015,,Barbados,9305911000--PARTS AND ACCESS FOR MILITARY RIFLES
2015,,Barbados,9305913020--SUPPRESSORS OF OTHER MIL WEAPONS HEAD 9301 NESOI
2015,,Barbados,9306210000--SHOTGUN CARTRIDGES AND PARTS THEREOF
2015,,Barbados,"9306304130--CARTRIDGES CONTAINING A PROJECTILE, NESOI"
2015,,Barbados,9306304160--CARTRIDGES NOT CONTAINING A PROJECTILE & NT EMPTY
